depositor_address,bpt_in_wallet,bpt_in_bal_gauge,bpt_in_aura,total_pool_tokens
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,553.1714944877089,0.0,0.0,0
0x2dD568028682FF2961cC341a4849F1b32f371064,309.9158909728388,0.0,0.0,309.9158909728388
0xA33E58F47e6C6d6620DfBbCF46feBE0f9C1abf3b,5.838185914759723,0.0,0.0,5.838185914759723
0xD85927dCd8793D3c8937b75D2d978Af4541e0743,3.234179004931665,0.0,0.0,3.234179004931665
0x47945E744d4D1c4770E0e766c9c14619976ECB66,0.3846077174421191,0.0,0.0,0.3846077174421191
0xe1880B5348FC0BaD7a4d81cFdd0140cFf530B174,0.17728505023401495,0.0,0.0,0.17728505023401495
0xce88686553686DA562CE7Cea497CE749DA109f9F,0.09877911104616563,0.0,0.0,0.09877911104616563
0x0000000000000000000000000000000000000000,1e-12,0.0,0.0,1e-12
0xe715522f8e705B8CB8858c33F4F468aD8fdc9faE,7.574e-15,0.0,0.0,7.574e-15
0x931d9fd3be017B6652838A219746D80D38BCE983,6.38e-15,0.0,0.0,6.38e-15
0x880B499325973065a3f8baA1E77a5C03eA367802,2.866e-15,0.0,0.0,2.866e-15
0x9F2cE98a3BC80463D39d556F05a14c6f7Dc22129,1.424e-15,0.0,0.0,1.424e-15
0xad496aC1B05C50549a11F6A5F26091AE4736CE0D,6.88e-16,0.0,0.0,6.88e-16
0x4F942119E6Ab0a6e4368e795d1d64291a3Ff0dA4,6.35e-16,0.0,0.0,6.35e-16
0xaaB908381C4077C3B892ee35d89f81c91B5879EC,2.1e-17,0.0,0.0,2.1e-17
0x4521722437185a57725E72E07240198a6A693Ceb,2.1e-17,0.0,0.0,2.1e-17
0x4c5AB985EF386026E940F7DAF40F4EAf90415727,1.2e-17,0.0,0.0,1.2e-17
0xf081470f5C6FBCCF48cC4e5B82Dd926409DcdD67,1e-18,0.0,0.0,1e-18
0x84F9BD8981b255657C369852B69613b74c0986Cc,1e-18,0.0,0.0,1e-18
0xaF52695E1bB01A16D33D7194C28C42b10e0Dbec2,0.0,362.6506442156057,0.0,0
0xa58627a29bb59743cE1D781B1072c59bb1dda86d,0.0,122.85271953153084,0.0,122.85271953153084
0xa838b09AE1b2223298D1dc43dCe715D06AacD47F,0.0,51.56270360992531,0.0,51.56270360992531
0x8E8dC724Ba72B3cDD3cC47ebF620766A7e7f8952,0.0,15.089196248365367,0.0,15.089196248365367
0x36D93bAC8ffcc3af98cCf3A5A1b2588df5508256,0.0,0.5026169803041561,0.0,0.5026169803041561
0xF608e0575Caf7270A06fb327Ea025e8D787790bd,0.0,0.5007241491413997,0.0,0.5007241491413997
0xbD32811d7906154b28041efaE0B16537967e36cb,0.0,0.01172588681529601,0.0,0.01172588681529601
0x03C2bFd2509dE9b13d0124015077e100a292336D,0.0,0.001163866020805438,0.0,0.001163866020805438
0xD89b1b886719fB9f2168aEa44d719e9B81cD78DD,0.0,0.0,109.90352471391823,109.90352471391823
0xef78f7e042835acE5a0818f185bAdC70fAf4bb49,0.0,0.0,61.75646660169693,61.75646660169693
0xBbB34ffB832146D599aE08091B096d982C76A2e2,0.0,0.0,45.00011935093821,45.00011935093821
0x5b2e99156f553d7A364DB873AfC81ba06c4d696c,0.0,0.0,41.97254073452369,41.97254073452369
0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,0.0,0.0,31.506272905516862,31.506272905516862
0x99a298EFf4D044c2ED9eABdABa567274dddC91cA,0.0,0.0,30.3330736308693,30.3330736308693
0x5D1124FB77c539eC92E3ef853053bBcE1E98271b,0.0,0.0,22.185620362610056,22.185620362610056
0x23807719299c9bA3C6d60d4097146259c7A16da3,0.0,0.0,14.386330881997782,14.386330881997782
0xa800Fe5E671E26EA3bf7651529CA195FF3Eb45B1,0.0,0.0,2.1865793661157986,2.1865793661157986
0x04Be74F44E452F2fE6c757F19F90B92cfC9f9aEA,0.0,0.0,1.8150572179681066,1.8150572179681066
0xe0EB63B4E18FF1e646ab7E37510E6EaF287AdE3D,0.0,0.0,1.0,1.0
0x4078EeEf75a099aaeFf8Bb5d1A43dB5C0A2E67E3,0.0,0.0,0.605058449450752,0.605058449450752
